Sentrix_ID,osk_treatment,timepoint,predicted_age_years
203440280002,no,1d vincristine damage,-19.714648403364635
203440280002,no,9d post vincristine damage,-19.8018119156487
203440280002,no,no vincristine damage,-19.86720741601363
203440280002,yes,1d vincristine damage,-19.715617812659197
203440280002,yes,9d post vincristine damage,-19.78395454241827
203440280002,yes,no vincristine damage,-19.621103398579947
203440280011,no,1d vincristine damage,-19.679019163128974
203440280011,no,9d post vincristine damage,-19.858428664539673
203440280011,no,no vincristine damage,-19.83904744860297
203440280011,yes,1d vincristine damage,-19.68237812721965
203440280011,yes,9d post vincristine damage,-19.79254046534625
203440280011,yes,no vincristine damage,-19.812447067886847
203440280018,no,1d vincristine damage,-19.65872318756881
203440280018,no,9d post vincristine damage,-19.8310535842587
203440280018,no,no vincristine damage,-19.820721635535325
203440280018,yes,1d vincristine damage,-19.782197803519843
203440280018,yes,9d post vincristine damage,-19.82085277603113
203440280018,yes,no vincristine damage,-19.707766038921605
